titleId_x,primaryName,Steven Spielberg,Joel Coen,Ethan Coen,Martin Scorsese,Ridley Scott,Tim Burton,Quentin Tarantino,Ron Howard,Stanley Kubrick,Richard Donner,Christopher Nolan,Oliver Stone,Guy Ritchie,David Lynch,Peter Jackson,Francis Ford Coppola,Alfred Hitchcock,Wilfred Jackson,John Carpenter,Clint Eastwood,Danny Boyle,Hayao Miyazaki,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres_y,titleId_y,ordering,title_y,region,averageRating_y,numVotes_y,genres_uniques,genres2,decade,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt3001638,Omung Kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Mary Kom,Mary Kom,0,2014,\N,122,"Action,Biography,Drama",tt3001638,11.0,Mary Kom,FR,6.8,10427,multi-genres,Action,2010,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3005242,Sebastian del Amo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Cantinflas,Cantinflas,0,2014,\N,102,"Biography,Comedy,Drama",tt3005242,10.0,Cantinflas,FR,6.6,3921,multi-genres,Biography,2010,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3007512,Russell Crowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Water Diviner,The Water Diviner,0,2014,\N,111,"Drama,History,War",tt3007512,31.0,La promesse d'une vie,FR,7.0,73670,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
tt3011894,Damián Szifron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Wild Tales,Relatos salvajes,0,2014,\N,122,"Comedy,Drama,Thriller",tt3011894,10.0,Les Nouveaux Sauvages,FR,8.1,187458,multi-genres,Comedy,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt3013588,Rose Bosch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,My Summer in Provence,Avis de mistral,0,2014,\N,105,"Drama,Romance",tt3013588,10.0,Avis de mistral,FR,6.6,3622,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt3013602,Nicolas Benamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Babysitting,Babysitting,0,2014,\N,85,Comedy,tt3013602,6.0,Babysitting,FR,6.8,9881,genres uniques,Comedy,2010,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3013610,Nanni Moretti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Mia madre,Mia madre,0,2015,\N,106,Drama,tt3013610,27.0,Mia madre,FR,6.8,7243,genres uniques,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3019620,Kanu Behl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Butterfly,Titli,0,2014,\N,116,"Action,Crime,Drama",tt3019620,3.0,"Titli, une chronique indienne",FR,7.6,4692,multi-genres,Action,2010,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3029556,Keishi Ohtomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Rurouni Kenshin: The Legend Ends,Rurôni Kenshin: Densetsu no saigo-hen,0,2014,\N,134,"Action,Adventure,Drama",tt3029556,7.0,Kenshin: La fin de la légende,FR,7.6,11774,multi-genres,Action,2010,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3029558,Keishi Ohtomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Rurouni Kenshin Part II: Kyoto Inferno,Rurôni Kenshin: Kyôto taika-hen,0,2014,\N,138,"Action,Adventure,Drama",tt3029558,23.0,Kenshin Kyoto Inferno,FR,7.6,15285,multi-genres,Action,2010,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
